Timestamp,Reference X,Reference Y,Reference Z,Reference Yaw,Current X,Current Y,Current Z,Current Yaw,Current X_speed,Current Y_speed,Current Z_speed,Current Yaw_speed,X_output,Y_output,Z_output,Yaw_output
0.0,1.0,1.0,1.5,1.0,-0.002,0.001,0.992,-0.001,0.0,0.0,-0.002,0.008,29,30,25,73
0.04,1.0,1.0,1.5,1.0,-0.002,0.0,0.992,-0.001,0.0,0.0,-0.007,0.005,30,29,27,90
0.08,1.0,1.0,1.5,1.0,-0.002,-0.0,0.992,-0.001,0.0,0.0,-0.001,0.002,29,30,25,71
0.12,1.0,1.0,1.5,1.0,-0.001,-0.001,0.995,-0.001,0.0,0.0,0.039,0.159,29,30,25,71
0.16,1.0,1.0,1.5,1.0,-0.001,-0.001,1.002,0.004,0.0,0.0,0.213,-0.041,30,29,27,89
0.2,1.0,1.0,1.5,1.0,0.001,-0.001,1.019,0.007,0.0,0.0,0.183,0.069,30,29,24,84
0.24000000000000002,1.0,1.0,1.5,1.0,0.003,0.001,1.03,0.022,0.0,0.0,0.387,0.312,30,29,24,82
0.28,1.0,1.0,1.5,1.0,0.008,0.005,1.046,0.045,0.0,0.0,0.255,0.369,31,28,23,76
0.32,1.0,1.0,1.5,1.0,0.014,0.01,1.06,0.072,0.0,0.0,0.209,0.362,31,28,20,63
0.36,1.0,1.0,1.5,1.0,0.02,0.016,1.071,0.098,0.0,0.0,0.381,0.885,32,27,22,73
0.39999999999999997,1.0,1.0,1.5,1.0,0.033,0.03,1.088,0.149,0.0,0.0,0.182,0.522,33,25,19,61
0.43999999999999995,1.0,1.0,1.5,1.0,0.042,0.039,1.098,0.179,0.0,0.0,0.363,1.076,34,24,19,53
0.4799999999999999,1.0,1.0,1.5,1.0,0.05,0.048,1.106,0.202,0.0,0.0,0.363,1.076,34,24,19,61
0.5199999999999999,1.0,1.0,1.5,1.0,0.068,0.07,1.121,0.267,0.0,0.0,0.2,0.624,36,21,18,53
0.5599999999999999,1.0,1.0,1.5,1.0,0.079,0.086,1.132,0.288,0.0,0.0,0.215,0.719,36,21,26,84
0.6,1.0,1.0,1.5,1.0,0.091,0.102,1.141,0.326,0.0,0.0,0.334,1.269,37,19,26,82
0.64,1.0,1.0,1.5,1.0,0.112,0.135,1.159,0.374,0.0,0.0,0.19,0.333,38,16,18,62
0.68,1.0,1.0,1.5,1.0,0.126,0.155,1.169,0.411,0.0,0.0,0.232,0.732,38,15,25,84
0.7200000000000001,1.0,1.0,1.5,1.0,0.136,0.172,1.176,0.432,0.0,0.0,0.232,0.732,37,11,17,57
0.7600000000000001,1.0,1.0,1.5,1.0,0.156,0.207,1.19,0.475,0.0,0.0,0.233,0.87,33,6,16,45
0.8000000000000002,1.0,1.0,1.5,1.0,0.173,0.239,1.202,0.511,0.0,0.0,0.29,0.853,23,-9,22,67
0.8400000000000002,1.0,1.0,1.5,1.0,0.205,0.303,1.222,0.573,0.0,0.0,0.194,0.618,16,-18,13,28
0.8800000000000002,1.0,1.0,1.5,1.0,0.22,0.332,1.232,0.604,0.0,0.0,0.324,1.133,2,-37,23,50
0.9200000000000003,1.0,1.0,1.5,1.0,0.242,0.379,1.246,0.643,0.0,0.0,0.183,0.436,24,-11,19,57
0.9600000000000003,1.0,1.0,1.5,1.0,0.264,0.427,1.26,0.681,0.0,0.0,0.253,0.722,-2,-35,11,13
1.0000000000000002,1.0,1.0,1.5,1.0,0.286,0.475,1.271,0.724,0.0,0.0,0.2,0.575,-3,-34,10,5
1.0400000000000003,1.0,1.0,1.5,1.0,0.301,0.507,1.278,0.745,0.0,0.0,0.2,0.575,-2,-36,16,32
1.0800000000000003,1.0,1.0,1.5,1.0,0.327,0.563,1.289,0.781,0.0,0.0,0.196,0.648,-3,-32,10,11
1.1200000000000003,1.0,1.0,1.5,1.0,0.342,0.594,1.296,0.801,0.0,0.0,0.196,0.648,-12,-29,10,4
1.1600000000000004,1.0,1.0,1.5,1.0,0.361,0.632,1.303,0.818,0.0,0.0,0.162,0.361,-5,-37,20,39
1.2000000000000004,1.0,1.0,1.5,1.0,0.39,0.683,1.315,0.844,0.0,0.0,0.14,0.335,-8,-34,16,25
1.2400000000000004,1.0,1.0,1.5,1.0,0.41,0.717,1.325,0.858,0.0,0.0,0.16,0.388,-11,-29,10,6
1.2800000000000005,1.0,1.0,1.5,1.0,0.426,0.743,1.333,0.865,0.0,0.0,0.22,0.267,-13,-28,8,2
1.3200000000000005,1.0,1.0,1.5,1.0,0.457,0.787,1.346,0.883,0.0,0.0,0.17,0.275,-12,-24,7,5
1.3600000000000005,1.0,1.0,1.5,1.0,0.485,0.822,1.356,0.905,0.0,0.0,0.208,0.458,-29,-11,6,-3
1.4000000000000006,1.0,1.0,1.5,1.0,0.503,0.844,1.362,0.908,0.0,0.0,0.152,0.226,-30,-10,6,-6
1.4400000000000006,1.0,1.0,1.5,1.0,0.538,0.881,1.369,0.933,0.0,0.0,0.128,0.026,-23,-14,6,9
1.4800000000000006,1.0,1.0,1.5,1.0,0.567,0.91,1.376,0.944,0.0,0.0,0.113,0.414,-32,-5,12,-14
1.5200000000000007,1.0,1.0,1.5,1.0,0.584,0.929,1.38,0.936,0.0,0.0,0.123,0.339,-32,-5,13,-14
1.5600000000000007,1.0,1.0,1.5,1.0,0.598,0.942,1.383,0.943,0.0,0.0,0.069,-0.229,-34,-3,11,-7
1.6000000000000008,1.0,1.0,1.5,1.0,0.622,0.962,1.39,0.949,0.0,0.0,0.162,0.171,-13,-14,5,13
1.6400000000000008,1.0,1.0,1.5,1.0,0.649,0.985,1.398,0.954,0.0,0.0,0.132,-0.001,-37,1,10,3
1.6800000000000008,1.0,1.0,1.5,1.0,0.668,0.999,1.403,0.966,0.0,0.0,0.121,0.427,-23,-5,4,3
1.7200000000000009,1.0,1.0,1.5,1.0,0.684,1.012,1.408,0.956,0.0,0.0,0.121,0.427,-31,2,4,-11
1.760000000000001,1.0,1.0,1.5,1.0,0.714,1.033,1.415,0.972,0.0,0.0,0.109,0.109,-25,-3,3,10
1.800000000000001,1.0,1.0,1.5,1.0,0.725,1.041,1.418,0.973,0.0,0.0,0.109,0.109,-28,-1,3,1
1.840000000000001,1.0,1.0,1.5,1.0,0.748,1.056,1.423,0.977,0.0,0.0,0.086,0.05,-26,1,3,-4
1.880000000000001,1.0,1.0,1.5,1.0,0.758,1.063,1.425,0.972,0.0,0.0,0.086,0.05,-27,1,3,1
1.920000000000001,1.0,1.0,1.5,1.0,0.781,1.078,1.43,0.976,0.0,0.0,0.069,0.25,-18,-4,3,9
1.960000000000001,1.0,1.0,1.5,1.0,0.793,1.085,1.432,0.973,0.0,0.0,0.074,-0.136,-25,1,3,-5
2.000000000000001,1.0,1.0,1.5,1.0,0.803,1.09,1.434,0.985,0.0,0.0,0.074,-0.136,-22,-1,3,5
2.040000000000001,1.0,1.0,1.5,1.0,0.816,1.097,1.438,0.977,0.0,0.0,0.062,0.029,-17,-1,3,1
2.080000000000001,1.0,1.0,1.5,1.0,0.826,1.102,1.44,0.976,0.0,0.0,0.068,0.061,-20,1,2,1
2.120000000000001,1.0,1.0,1.5,1.0,0.839,1.107,1.443,0.981,0.0,0.0,0.05,0.061,-16,-1,2,1
2.160000000000001,1.0,1.0,1.5,1.0,0.854,1.112,1.447,1.0,0.0,0.0,0.068,0.302,-17,1,2,-4
2.200000000000001,1.0,1.0,1.5,1.0,0.861,1.115,1.449,0.997,0.0,0.0,0.068,0.302,-18,2,2,-9
2.240000000000001,1.0,1.0,1.5,1.0,0.871,1.118,1.451,1.004,0.0,0.0,0.044,0.149,-14,1,2,1
2.280000000000001,1.0,1.0,1.5,1.0,0.88,1.119,1.453,1.002,0.0,0.0,0.042,-0.041,-13,-1,2,-4
2.320000000000001,1.0,1.0,1.5,1.0,0.885,1.12,1.454,1.004,0.0,0.0,0.042,-0.041,-13,1,2,1
2.360000000000001,1.0,1.0,1.5,1.0,0.894,1.121,1.456,1.007,0.0,0.0,0.033,-0.005,-10,-1,2,-2
2.4000000000000012,1.0,1.0,1.5,1.0,0.9,1.121,1.457,1.003,0.0,0.0,0.038,-0.01,-10,-1,2,-1
2.4400000000000013,1.0,1.0,1.5,1.0,0.904,1.121,1.458,1.01,0.0,0.0,0.038,-0.01,-10,1,2,1
2.4800000000000013,1.0,1.0,1.5,1.0,0.91,1.121,1.46,1.012,0.0,0.0,0.03,0.034,-8,-1,2,-2
2.5200000000000014,1.0,1.0,1.5,1.0,0.916,1.12,1.462,1.008,0.0,0.0,0.035,-0.194,-9,1,1,-9
2.5600000000000014,1.0,1.0,1.5,1.0,0.919,1.119,1.463,1.003,0.0,0.0,0.035,-0.194,-7,1,1,6
2.6000000000000014,1.0,1.0,1.5,1.0,0.926,1.117,1.464,1.016,0.0,0.0,0.027,0.012,-6,-1,1,-1
2.6400000000000015,1.0,1.0,1.5,1.0,0.928,1.116,1.465,1.005,0.0,0.0,0.043,-0.049,-6,1,1,1
2.6800000000000015,1.0,1.0,1.5,1.0,0.934,1.114,1.466,1.013,0.0,0.0,0.017,0.032,-6,1,1,-2
2.7200000000000015,1.0,1.0,1.5,1.0,0.938,1.111,1.467,1.006,0.0,0.0,0.021,-0.289,-6,3,1,-10
2.7600000000000016,1.0,1.0,1.5,1.0,0.944,1.11,1.468,1.025,0.0,0.0,0.011,0.468,-3,-1,1,8
2.8000000000000016,1.0,1.0,1.5,1.0,0.946,1.107,1.468,1.016,0.0,0.0,0.015,-0.204,-7,4,1,-17
2.8400000000000016,1.0,1.0,1.5,1.0,0.949,1.105,1.469,1.008,0.0,0.0,0.015,-0.204,-2,-1,1,5
2.8800000000000017,1.0,1.0,1.5,1.0,0.953,1.102,1.47,1.014,0.0,0.0,0.015,-0.142,-4,4,1,-5
2.9200000000000017,1.0,1.0,1.5,1.0,0.956,1.099,1.47,1.014,0.0,0.0,0.018,0.005,-2,1,1,3
2.9600000000000017,1.0,1.0,1.5,1.0,0.96,1.096,1.471,1.02,0.0,0.0,0.02,0.124,-3,1,1,-1
3.0000000000000018,1.0,1.0,1.5,1.0,0.963,1.093,1.472,1.012,0.0,0.0,0.02,-0.186,-3,2,1,-5
3.040000000000002,1.0,1.0,1.5,1.0,0.966,1.09,1.473,1.021,0.0,0.0,0.019,0.237,-1,2,1,3
